Süle XI
Croatia Keeps,15
Bellingham,49
Chiesa,41
Bastoni,41
Pavlovic,39
T. Hernandez,36
Thuram,35
Veerman,30
Faes,30
Hojbjerg,24
Dovbyk,22
Brozovic,21
Rodri,20
Doku,19
Castagne,16
POINTS:,362
""
Devman XI
Denmark Keeps,26
Xhaka,48
Kroos,46
Jorginho,35
Mbappe,25
Alexander-Arnold,20
POINTS:,200
""
Ben Mendy FC
England Keeps,28
Musiala,55
Barella,51
Stones,38
Mittelstadt,28
Griezmann,25
Kane,24
POINTS:,249
""
Lingard FC
Belgium Keeps,30
Gakpo,61
Yamal,51
Kounde,35
van Dijk,33
Dimarco,32
de Bruyne,29
Saliba,28
Majer,27
Sutalo,26
Reijnders,19
Andrich,18
Dembele,17
POINTS:,371
""
Benzema’s U-15s
Germany Keeps,19
di Lorenzo,37
Wirtz,32
Walker,27
Foden,23
Akanji,20
Trossard,16
Hojlund,15
Tsygankov,5
Modric,5
POINTS:,199
""
Peri Peri Saka
Spain Keeps,45
F. Ruiz,54
Ake,46
Pellegrini,42
Morata,41
Gundogan,34
Normand,28
Tah,27
N. Williams,26
S. Milinkovic-Savic,24
Stanisic,21
Saka,21
Lukaku,19
POINTS:,388
""
Who ate Depay?
Italy Keeps,23
Upamecano,36
Kimmich,35
Scamacca,29
Rabiot,26
Guehi,26
Trippier,25
Kramaric,25
Depay,19
Gvardiol,10
POINTS:,254
""
Rajeeyan
France Keeps,41
Havertz,48
Pedri,41
Carvajal,41
Kante,35
Rice,33
Dumfries,32
Onana,28
Rudiger,26
Kovacic,23
Simons,19
POINTS:,367
""
